categories,id_event,latitude,longitude,timeslot
Arte,1636,45.46696,9.194366,"1,2,3"
Arredo,1634,45.4518153,9.1760435,"0,1,2,3"
Arredo,1634,45.4518153,9.1760435,"2,3"
,1638,45.4537215,9.1625376,"1,2,3"
"Arredo,Arte,Moda,Gioielli,Materiali speciali",1639,45.4624151,9.1744899,"1,2,3"
"Arredo,Arte,Moda,Gioielli,Materiali speciali",1639,45.4624151,9.1744899,3
"Arte,Moda",1640,45.4624151,9.1744899,"1,2,3"
"Arte,Moda",1640,45.4624151,9.1744899,3
,1642,45.4596615,9.1793833,"1,2,3"
,1642,45.4596615,9.1793833,"0,1,2,3"
"Materiali speciali,Product Design",1643,45.4410546,9.2057135,"1,2,3"
"Arredo,Living,Materiali speciali,Product Design",1644,45.4577283,9.1832468,"1,2,3"
Arte,1645,45.5035886,9.1931862,"2,3"
Arte,1645,45.5035886,9.1931862,"1,2"
"Altro,Arte,Installazioni,Materiali speciali",1647,45.4765665,9.217424,"1,2,3"
"Arredo,Arte,Installazioni",1648,45.4660736,9.202152900000002,"1,2,3"
"Architettura,Arredo,Arte,Bagno,Cucina,Esterni,Illuminazione,Living",1649,45.4536292,9.1682489,"1,2,3"
"Architettura,Arredo,Arte,Living,Materiali speciali",1651,45.4574529,9.1916373,"0,1,2,3"
"Architettura,Arredo,Arte,Living,Materiali speciali",1651,45.4574529,9.1916373,"1,2,3"
"Architettura,Arredo,Arte,Living,Materiali speciali",1651,45.4574529,9.1916373,3
"Altro,Arredo,Living",1650,45.47447800000001,9.1835085,"1,2,3"
"Arredo,Arte,Cucina,Food & beverage,Installazioni,Party",1652,45.4157954,9.2401305,3
Installazioni,1653,45.4726541,9.186198,"1,2,3"
Product Design,1654,45.4637059,9.1861316,"1,2,3"
Arte,1655,45.46587,9.18373,"1,2,3"
,1656,45.46673300000001,9.187186,"1,2,3"
"Arredo,Product Design",1657,45.4672793,9.1869646,"1,2,3"
,1658,45.4562858,9.1601623,"1,2,3"
,1658,45.4562858,9.1601623,"2,3"
"Architettura,Arredo,Illuminazione,Installazioni,Party,Product Design",1660,45.46378320000001,9.196994,"1,2,3"
"Architettura,Arredo,Illuminazione,Installazioni,Party,Product Design",1660,45.46378320000001,9.196994,3
"Arredo,Moda,Installazioni,Product Design",1659,45.45337960000001,9.1678477,"1,2,3"
"Arredo,Moda,Installazioni,Product Design",1659,45.45337960000001,9.1678477,"0,1,2,3"
Party,1663,45.4738848,9.2426587,"0,3"
"Architettura,Arte,Moda,Illuminazione,Product Design",1664,45.43701179999999,9.2025002,3
"Arte,Gioielli,Grafica,Installazioni,Materiali speciali,Product Design",1494,45.71289229999999,9.084831,"1,2,3"
"Arredo,Arte,Living,Product Design",1341,45.4644041,9.1811545,"1,2,3"
"Arredo,Arte,Living,Product Design",1341,45.4644041,9.1811545,"2,3"
"Architettura,Arredo,Arte,Product Design",102,45.4515363,9.1619373,1
"Architettura,Arredo,Arte,Product Design",102,45.4515363,9.1619373,2
"Architettura,Arredo,Arte,Product Design",102,45.4515363,9.1619373,3
"Altro,Installazioni,Tecnologia",916,45.4515363,9.1619373,1
"Altro,Installazioni,Tecnologia",916,45.4515363,9.1619373,2
"Altro,Installazioni,Tecnologia",916,45.4515363,9.1619373,3
"Altro,Installazioni,Tecnologia",916,45.4515363,9.1619373,0
"Architettura,Arredo,Arte,Bagno,Cucina,Esterni,Illuminazione,Installazioni,Materiali speciali,Product Design,Tecnologia",1662,45.4515363,9.1619373,1
"Architettura,Arredo,Arte,Bagno,Cucina,Esterni,Illuminazione,Installazioni,Materiali speciali,Product Design,Tecnologia",1662,45.4515363,9.1619373,2
"Architettura,Arredo,Arte,Bagno,Cucina,Esterni,Illuminazione,Installazioni,Materiali speciali,Product Design,Tecnologia",1662,45.4515363,9.1619373,3
Product Design,1063,45.4689203,9.1991368,0
Product Design,1063,45.4689203,9.1991368,1
Product Design,1063,45.4689203,9.1991368,2
Product Design,1063,45.4689203,9.1991368,3
"Arte,Installazioni",1582,45.4850878,9.176209,3
"Arte,Installazioni",1582,45.4850878,9.176209,1
"Arte,Installazioni",1582,45.4850878,9.176209,2
"Living,Product Design",31,45.4850878,9.176209,1
"Living,Product Design",31,45.4850878,9.176209,2
"Living,Product Design",31,45.4850878,9.176209,3
"Arte,Installazioni,Product Design",1581,45.4850878,9.176209,1
"Arte,Installazioni,Product Design",1581,45.4850878,9.176209,2
"Arte,Installazioni,Product Design",1581,45.4850878,9.176209,3
"Arredo,Arte,Conferenze, workshop,Product Design",1386,45.4850878,9.176209,3
"Arredo,Arte,Conferenze, workshop,Product Design",1386,45.4850878,9.176209,0
